,EstadoNuevo
0,Subio
1,Subio
2,Bajo
3,Bajo
4,Subio
5,Subio
6,Bajo
7,Subio
8,Estable
9,Subio
10,Bajo
11,Estable
12,Bajo
13,Bajo
14,Estable
15,Bajo
16,Subio
17,Subio
18,Subio
19,Bajo
20,Subio
21,Subio
22,Subio
23,Subio
24,Bajo
25,Estable
26,Estable
27,Bajo
28,Subio
29,Subio
30,Subio
31,Estable
32,Estable
33,Bajo
34,Subio
35,Estable
36,Subio
37,Subio
38,Subio
39,Estable
40,Bajo
41,Bajo
42,Subio
43,Bajo
44,Estable
45,Bajo
46,Bajo
47,Bajo
48,Estable
49,Subio
50,Bajo
51,Subio
52,Bajo
53,Bajo
54,Bajo
55,Bajo
56,Bajo
57,Estable
58,Subio
59,Bajo
60,Subio
61,Subio
62,Bajo
63,Bajo
64,Subio
65,Bajo
66,Subio
67,Subio
68,Subio
69,Bajo
70,Estable
71,Bajo
72,Estable
73,Bajo
74,Subio
75,Bajo
76,Bajo
77,Subio
78,Subio
79,Estable
80,Estable
81,Bajo
82,Bajo
83,Subio
84,Bajo
85,Bajo
86,Estable
87,Bajo
88,Subio
89,Bajo
90,Subio
91,Subio
92,Subio
93,Bajo
94,Bajo
95,Subio
96,Subio
97,Bajo
98,Subio
99,Bajo
100,Bajo
101,Bajo
102,Bajo
103,Subio
104,Subio
105,Bajo
106,Bajo
107,Subio
108,Subio
109,Subio
110,Bajo
111,Subio
112,Estable
113,Subio
114,Bajo
115,Bajo
116,Subio
117,Subio
118,Subio
119,Subio
120,Subio
121,Bajo
122,Bajo
123,Subio
124,Bajo
125,Subio
126,Estable
127,Subio
128,Estable
129,Subio
130,Subio
131,Bajo
132,Subio
133,Subio
134,Bajo
135,Subio
136,Subio
137,Bajo
138,Bajo
139,Subio
140,Bajo
141,Subio
142,Subio
143,Subio
144,Subio
145,Bajo
146,Subio
147,Estable
148,Subio
149,Estable
150,Subio
151,Subio
152,Subio
153,Bajo
154,Bajo
155,Subio
156,Bajo
157,Bajo
158,Bajo
159,Bajo
160,Bajo
161,Subio
162,Subio
163,Subio
164,Bajo
165,Bajo
166,Subio
167,Subio
168,Subio
169,Bajo
170,Bajo
171,Subio
172,Bajo
173,Bajo
174,Bajo
175,Subio
176,Bajo
177,Subio
178,Estable
179,Subio
180,Subio
181,Bajo
182,Subio
183,Bajo
184,Bajo
185,Bajo
186,Estable
187,Bajo
188,Bajo
189,Bajo
190,Subio
191,Bajo
192,Estable
193,Subio
194,Bajo
195,Subio
196,Estable
197,Subio
198,Bajo
199,Bajo
200,Bajo
201,Bajo
202,Bajo
203,Subio
204,Subio
205,Subio
206,Subio
207,Bajo
208,Bajo
209,Bajo
210,Bajo
211,Subio
212,Bajo
213,Bajo
214,Subio
215,Subio
216,Bajo
217,Bajo
218,Bajo
219,Subio
220,Estable
221,Subio
222,Bajo
223,Bajo
224,Subio
225,Subio
226,Subio
227,Bajo
228,Subio
229,Subio
230,Bajo
231,Subio
232,Subio
233,Subio
234,Bajo
235,Bajo
236,Subio
237,Subio
238,Subio
239,Subio
240,Bajo
241,Bajo
242,Bajo
243,Subio
244,Bajo
245,Bajo
246,Subio
247,Bajo
248,Subio
249,Bajo
250,Subio
251,Bajo
252,Bajo
253,Bajo
254,Subio
255,Subio
256,Subio
257,Subio
258,Bajo
259,Subio
260,Subio
