Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,117.889999,121.230003,117.000000,121.150002,121.150002,886800
2019-02-18,120.519997,123.360001,120.519997,121.820000,121.820000,555200
2019-02-25,122.709999,123.650002,119.629997,120.339996,120.339996,691000
2019-03-04,119.019997,119.029999,116.809998,117.709999,117.709999,781800
2019-03-11,118.500000,119.660004,117.449997,118.970001,118.970001,565900
2019-03-18,118.940002,121.160004,118.809998,120.220001,120.220001,639100
2019-03-25,119.889999,122.279999,117.839996,118.019997,118.019997,824200
2019-04-01,119.459999,122.730003,119.459999,122.540001,122.540001,634500
2019-04-08,121.730003,122.800003,121.000000,122.400002,122.400002,468000
2019-04-15,122.160004,125.430000,121.510002,125.160004,125.160004,624100
2019-04-22,124.809998,124.980003,122.650002,123.620003,123.620003,661900
2019-04-29,123.779999,124.209999,122.339996,123.650002,123.650002,544200
2019-05-06,121.620003,123.349998,117.730003,119.269997,119.269997,853000
2019-05-13,118.000000,120.889999,117.790001,118.400002,118.400002,1114700
2019-05-20,118.120003,118.879997,117.050003,118.550003,118.550003,625900
2019-05-27,119.870003,120.660004,117.099998,117.580002,117.580002,578200
2019-06-03,117.580002,122.870003,117.440002,122.389999,122.389999,703500
2019-06-10,123.459999,126.000000,123.360001,124.389999,124.389999,779400
2019-06-17,124.290001,125.989998,123.809998,124.830002,124.830002,453200
2019-06-24,125.059998,125.199997,123.150002,123.989998,123.989998,502200
2019-07-01,126.629997,127.430000,125.320000,126.570000,126.570000,499800
2019-07-08,126.279999,128.130005,126.190002,127.709999,127.709999,581700
2019-07-15,128.100006,131.600006,127.230003,130.169998,130.169998,1151300
2019-07-22,131.259995,133.160004,130.860001,131.949997,131.949997,729800
2019-07-29,131.660004,132.130005,128.000000,128.949997,128.949997,651300
2019-08-05,129.419998,129.830002,125.639999,128.979996,128.979996,1009000
2019-08-12,128.679993,129.940002,126.099998,128.789993,128.789993,713200
2019-08-19,129.669998,130.259995,127.720001,127.830002,127.830002,395600
2019-08-26,130.929993,131.389999,129.800003,130.630005,130.630005,522200
2019-09-02,131.399994,132.369995,130.580002,132.050003,132.050003,691900
2019-09-09,132.889999,137.190002,132.759995,136.660004,136.660004,827800
2019-09-16,136.199997,137.889999,135.539993,136.559998,136.559998,541000
2019-09-23,135.250000,138.410004,135.250000,136.279999,136.279999,803800
2019-09-30,133.550003,134.679993,129.740005,131.820007,131.820007,878500
2019-10-07,131.199997,136.220001,130.979996,135.449997,135.449997,712900
2019-10-14,135.279999,137.429993,135.029999,135.770004,135.770004,625700
2019-10-21,136.419998,138.440002,136.210007,138.279999,138.279999,574500
2019-10-28,137.949997,140.089996,137.419998,139.830002,139.830002,685800
2019-11-04,140.029999,144.580002,140.029999,144.389999,144.389999,689000
2019-11-11,144.949997,145.410004,142.880005,144.270004,144.270004,656900
2019-11-18,143.300003,143.759995,140.500000,142.529999,142.529999,486200
2019-11-25,140.750000,142.699997,140.070007,140.210007,140.210007,489800
2019-12-02,141.350006,144.020004,139.699997,142.770004,142.770004,587900
2019-12-09,143.130005,143.130005,140.229996,142.100006,142.100006,624800
2019-12-16,142.190002,143.000000,140.559998,141.970001,141.970001,438200
2019-12-23,142.119995,142.119995,140.839996,141.279999,141.279999,359300
2019-12-30,141.460007,142.350006,140.130005,140.750000,140.750000,474500
2020-01-06,139.460007,142.429993,139.460007,139.729996,139.729996,679600
2020-01-13,140.160004,140.710007,139.279999,140.039993,140.039993,556800
2020-01-20,141.750000,143.759995,141.220001,142.759995,142.759995,711300
2020-01-27,141.440002,142.589996,138.509995,138.839996,138.839996,931200
2020-02-03,138.679993,144.389999,138.550003,142.339996,142.339996,775400
2020-02-10,140.929993,142.660004,139.759995,140.149994,140.149994,661200
2020-02-17,139.059998,140.000000,137.520004,139.039993,139.039993,982600
2020-02-24,135.119995,136.279999,128.000000,130.750000,130.750000,1705900
2020-03-02,131.000000,133.990005,126.199997,127.110001,127.110001,1491900
2020-03-09,122.599998,127.000000,111.480003,116.230003,116.230003,2447800
2020-03-16,110.000000,121.849998,108.010002,116.459999,116.459999,2530500
2020-03-23,113.720001,129.250000,108.610001,127.239998,127.239998,2089200
2020-03-30,124.419998,125.290001,113.980003,115.000000,115.000000,1658800
2020-04-06,120.000000,125.669998,119.400002,123.410004,123.410004,1023000
2020-04-13,121.750000,125.250000,120.180000,124.610001,124.610001,1130600
2020-04-20,122.680000,123.269997,120.410004,122.559998,122.559998,850300
2020-04-27,123.750000,128.789993,121.010002,121.120003,121.120003,975600
2020-05-04,120.250000,123.550003,119.820000,123.099998,123.099998,808700
2020-05-11,123.220001,123.870003,115.190002,116.889999,116.889999,1309200
2020-05-18,118.459999,120.330002,117.120003,117.559998,117.559998,883600
2020-05-25,123.050003,129.320007,122.709999,126.010002,126.010002,1319700
2020-06-01,124.900002,132.000000,124.750000,131.100006,131.100006,1144200
2020-06-08,131.860001,132.130005,123.830002,127.820000,127.820000,1052100
2020-06-15,126.169998,131.270004,125.250000,127.790001,127.790001,767300
2020-06-22,127.930000,130.309998,125.900002,126.160004,126.160004,1224700
2020-06-29,126.470001,127.529999,124.029999,126.389999,126.389999,1046200
2020-07-06,127.160004,127.400002,122.900002,124.970001,124.970001,1016500
2020-07-13,126.660004,128.149994,124.820000,127.059998,127.059998,961000
2020-07-20,127.180000,127.639999,125.050003,125.209999,125.209999,666200
2020-07-27,126.839996,128.050003,118.660004,119.339996,119.339996,994200
2020-08-03,119.620003,130.000000,119.510002,129.960007,129.960007,1038600
2020-08-10,130.000000,136.910004,129.960007,134.220001,134.220001,982100
2020-08-17,134.949997,136.580002,133.110001,133.830002,133.830002,632500
2020-08-24,134.649994,135.449997,133.169998,133.919998,133.919998,684700
2020-08-31,133.119995,133.750000,129.589996,133.169998,133.169998,826500
2020-09-07,131.000000,132.100006,130.050003,131.339996,131.339996,696700
2020-09-14,133.899994,135.419998,133.429993,134.250000,134.250000,680100
2020-09-21,132.300003,135.160004,130.210007,132.970001,132.970001,1038800
2020-09-28,135.039993,136.309998,130.880005,131.729996,131.729996,741000
2020-10-05,131.479996,133.139999,131.160004,132.080002,132.080002,815800
2020-10-12,132.000000,133.130005,130.380005,130.639999,130.639999,621500
2020-10-19,131.789993,133.820007,130.619995,133.279999,133.279999,538700
2020-10-26,133.119995,133.360001,129.279999,131.289993,131.289993,772900
2020-11-02,133.059998,138.199997,132.660004,137.199997,137.199997,799900
2020-11-09,140.300003,143.320007,139.600006,141.619995,141.619995,875100
2020-11-16,143.389999,144.649994,140.130005,142.130005,142.130005,761900
2020-11-23,143.750000,144.529999,140.029999,140.160004,140.160004,735000
2020-11-30,135.919998,138.850006,134.449997,138.279999,138.279999,1151600
2020-12-07,138.600006,151.740005,137.699997,151.000000,151.000000,1499800
2020-12-14,154.000000,156.300003,151.899994,153.770004,153.770004,1595500
2020-12-21,150.399994,151.770004,149.389999,150.470001,150.470001,907000
2020-12-28,153.100006,155.210007,152.229996,154.570007,154.570007,834200
2021-01-04,155.809998,155.809998,151.509995,152.850006,152.850006,1606600
2021-01-11,153.199997,154.210007,147.389999,148.410004,148.410004,2047200
2021-01-18,148.449997,152.710007,147.449997,147.949997,147.949997,1487300
2021-01-25,147.949997,147.949997,140.039993,140.520004,140.520004,1680500
2021-02-01,140.160004,151.179993,139.289993,150.860001,150.860001,1853400
2021-02-08,152.289993,163.369995,152.179993,160.490005,160.490005,2936300
2021-02-15,158.699997,159.259995,152.289993,153.550003,153.550003,1470200
2021-02-22,153.550003,153.919998,146.800003,147.929993,147.929993,2053700
2021-03-01,149.210007,150.190002,145.550003,148.520004,148.520004,1729900
2021-03-08,148.570007,152.449997,147.990005,150.529999,150.529999,2090200
2021-03-15,153.000000,159.550003,151.679993,158.580002,158.580002,2247300
2021-03-22,155.199997,155.199997,149.119995,153.369995,153.369995,1768200
2021-03-29,154.000000,156.470001,153.039993,154.160004,154.160004,1356900
2021-04-05,154.160004,155.839996,152.889999,154.279999,154.279999,1332500
2021-04-12,154.910004,157.899994,153.899994,157.570007,157.570007,981200
2021-04-19,157.960007,157.979996,152.899994,154.990005,154.990005,1343700
2021-04-26,154.309998,154.309998,149.899994,150.770004,150.770004,1747400
2021-05-03,151.479996,153.720001,150.250000,153.649994,153.649994,1105100
2021-05-10,155.330002,156.500000,151.160004,155.850006,155.850006,1980900
2021-05-17,157.699997,161.910004,157.429993,161.160004,161.160004,1429300
2021-05-24,162.179993,166.779999,161.630005,165.979996,165.979996,1076400
2021-05-31,171.470001,182.660004,171.029999,182.410004,182.410004,2092500
2021-06-07,182.029999,182.250000,179.389999,181.470001,181.470001,1257800
2021-06-14,181.000000,185.380005,176.309998,177.029999,177.029999,1709200
2021-06-21,177.000000,180.059998,176.139999,178.100006,178.100006,1454700
2021-06-28,177.649994,177.800003,174.350006,176.029999,176.029999,1081000
2021-07-05,176.070007,178.729996,173.050003,177.789993,177.789993,926600
2021-07-12,177.789993,180.990005,177.039993,178.130005,178.130005,1062100
2021-07-19,176.679993,180.440002,174.029999,179.850006,179.850006,1113400
2021-07-26,179.229996,181.860001,177.710007,179.839996,179.839996,756600
2021-08-02,182.000000,185.990005,180.039993,180.720001,180.720001,921200
2021-08-09,181.119995,181.470001,178.240005,181.339996,181.339996,715800
2021-08-16,179.570007,180.690002,163.910004,164.660004,164.660004,1669600
2021-08-23,166.869995,174.110001,166.279999,173.880005,173.880005,1216800
2021-08-30,173.729996,179.279999,172.479996,179.270004,179.270004,1001100
2021-09-06,181.000000,181.740005,176.119995,176.300003,176.300003,895700
2021-09-13,177.470001,182.309998,177.279999,180.949997,180.949997,924100
2021-09-20,178.669998,183.229996,175.050003,182.570007,182.570007,1242200
2021-09-27,185.080002,187.449997,176.419998,177.619995,177.619995,1303000
2021-10-04,175.160004,175.539993,165.330002,171.970001,171.970001,1395400
2021-10-11,175.380005,177.570007,174.479996,176.270004,176.270004,1147000
2021-10-18,178.000000,179.000000,172.779999,173.399994,173.399994,991500
2021-10-25,172.809998,176.690002,171.880005,176.570007,176.570007,944200
2021-11-01,178.130005,182.839996,177.740005,179.279999,179.279999,896400
2021-11-08,179.520004,184.750000,175.639999,184.399994,184.399994,1043400
2021-11-15,185.020004,188.179993,183.860001,185.960007,185.960007,1079100
2021-11-22,186.119995,186.440002,178.789993,179.830002,179.830002,873800
2021-11-29,178.710007,184.399994,175.669998,182.460007,182.460007,1232100
2021-12-06,183.250000,187.899994,180.000000,182.350006,182.350006,1012300
2021-12-13,177.169998,188.949997,175.669998,184.039993,184.039993,2270200
2021-12-20,181.559998,184.309998,180.059998,183.779999,183.779999,765300
2021-12-27,184.009995,186.369995,182.850006,185.300003,185.300003,741400
2022-01-03,186.809998,201.990005,185.160004,200.440002,200.440002,2759700
2022-01-10,200.979996,213.740005,197.669998,210.690002,210.690002,1961600
2022-01-17,209.100006,209.490005,198.559998,199.770004,199.770004,1588500
2022-01-24,195.399994,198.770004,188.199997,193.130005,193.130005,2128400
2022-01-31,196.000000,201.460007,194.699997,196.880005,196.880005,1562800
2022-02-07,198.149994,203.949997,191.910004,192.710007,192.710007,1459900
2022-02-14,190.000000,190.899994,186.130005,188.970001,188.970001,1069100
2022-02-21,187.039993,188.589996,176.679993,185.380005,185.380005,1035800
2022-02-28,184.470001,185.100006,169.089996,170.750000,170.750000,1594400
2022-03-07,163.759995,165.630005,155.050003,158.270004,158.270004,2496700
2022-03-14,162.500000,172.139999,160.610001,171.699997,171.699997,1641300
2022-03-21,171.899994,180.529999,171.220001,178.429993,178.429993,1413800
2022-03-28,178.270004,186.000000,177.130005,180.369995,180.369995,1192000
2022-04-04,181.000000,183.130005,169.580002,170.779999,170.779999,1355200
2022-04-11,169.740005,171.460007,165.130005,167.259995,167.259995,1226400
2022-04-18,169.479996,177.429993,169.300003,169.529999,169.529999,1105500
2022-04-25,169.979996,174.720001,166.820007,171.000000,171.000000,1120700
2022-05-02,170.369995,175.139999,168.339996,173.300003,173.300003,1171900
2022-05-09,170.490005,171.399994,156.960007,161.330002,161.330002,1911200
2022-05-16,159.429993,160.220001,155.250000,158.660004,158.660004,1732200
2022-05-23,160.570007,166.869995,159.649994,166.830002,166.830002,1190300
2022-05-30,167.210007,170.369995,164.110001,164.809998,164.809998,857600
2022-06-06,167.279999,167.410004,161.289993,161.300003,161.300003,897500
2022-06-13,157.600006,157.740005,152.389999,153.949997,153.949997,1675700
2022-06-20,157.320007,160.000000,156.279999,159.080002,159.080002,841500
2022-06-27,157.690002,160.820007,152.399994,155.470001,155.470001,867600
2022-07-04,153.149994,157.330002,152.139999,156.759995,156.759995,832800
2022-07-11,156.600006,156.850006,152.179993,156.699997,156.699997,912400
2022-07-18,157.000000,161.169998,156.380005,160.300003,160.300003,1137000
2022-07-25,160.050003,162.779999,157.699997,162.589996,162.589996,865900
2022-08-01,165.580002,167.039993,156.250000,157.309998,157.309998,1287000
2022-08-08,157.000000,161.610001,152.460007,161.309998,161.309998,1120500
2022-08-15,160.899994,161.679993,156.119995,156.460007,156.460007,829400
2022-08-22,155.600006,156.000000,151.729996,151.770004,151.770004,932400
2022-08-29,151.220001,152.770004,145.080002,145.559998,145.559998,1216300
2022-09-05,145.000000,146.029999,140.960007,145.589996,145.589996,967300
2022-09-12,144.660004,145.889999,140.190002,140.740005,140.740005,1146200
2022-09-19,140.119995,142.149994,135.839996,137.279999,137.279999,1617500
2022-09-26,136.130005,137.440002,130.070007,130.289993,130.289993,1628200
2022-10-03,134.149994,140.179993,133.800003,135.850006,135.850006,1425800
2022-10-10,135.759995,136.850006,132.500000,134.110001,134.110001,1389000
2022-10-17,135.850006,136.800003,131.339996,133.759995,133.759995,1218800
2022-10-24,133.630005,139.789993,133.139999,139.520004,139.520004,969200
2022-10-31,138.580002,139.320007,134.229996,137.350006,137.350006,1105900
2022-11-07,136.830002,143.460007,134.100006,143.259995,143.259995,950800
2022-11-14,142.279999,144.970001,141.100006,143.190002,143.190002,757200
2022-11-21,142.779999,148.649994,141.949997,148.270004,148.270004,635400
2022-11-28,146.839996,148.240005,144.850006,146.529999,146.529999,846700
2022-12-05,144.759995,144.800003,140.199997,143.339996,143.339996,943100
2022-12-12,143.619995,147.339996,140.039993,140.429993,140.429993,789800
2022-12-19,140.000000,140.800003,135.880005,137.139999,137.139999,969400
2022-12-26,136.119995,137.490005,133.899994,136.580002,136.580002,792600
2023-01-02,137.960007,139.539993,134.669998,138.970001,138.970001,1120200
2023-01-09,139.309998,142.740005,138.169998,140.300003,140.300003,1246300
2023-01-16,144.649994,148.100006,143.619995,146.110001,146.110001,1203400
2023-01-23,145.770004,150.399994,144.410004,147.160004,147.160004,928800
2023-01-30,146.000000,149.009995,144.449997,144.710007,144.710007,1088700
2023-02-06,144.000000,147.490005,142.509995,143.419998,143.419998,1095500
2023-02-13,142.949997,143.910004,140.059998,142.850006,142.850006,1264700
2023-02-20,140.160004,140.580002,135.479996,136.050003,136.050003,919000
2023-02-27,137.000000,139.919998,135.880005,139.830002,139.830002,985000
2023-03-06,140.110001,141.389999,137.449997,137.970001,137.970001,976500
2023-03-13,136.410004,137.759995,132.350006,133.479996,133.479996,1139300
2023-03-20,133.649994,137.759995,133.550003,136.649994,136.649994,1088700
2023-03-27,136.690002,141.759995,136.429993,141.690002,141.690002,990800
2023-04-03,142.000000,143.050003,138.210007,138.869995,138.869995,1026600
2023-04-10,138.529999,138.649994,135.619995,135.960007,135.960007,1467400
2023-04-17,136.710007,137.789993,133.020004,134.669998,134.669998,1409900
2023-04-24,134.050003,137.839996,133.460007,137.330002,137.330002,1427000
2023-05-01,137.330002,137.929993,134.250000,137.539993,137.539993,1100700
2023-05-08,137.850006,144.850006,137.289993,143.270004,143.270004,1661000
2023-05-15,141.889999,142.759995,141.000000,142.220001,142.220001,943900
2023-05-22,141.660004,141.710007,138.509995,140.080002,140.080002,1017100
2023-05-29,139.559998,146.389999,135.149994,146.000000,146.000000,1142200
2023-06-05,145.820007,149.139999,145.029999,148.639999,148.639999,1782900
2023-06-12,149.100006,169.070007,148.740005,164.350006,164.350006,3090800
2023-06-19,158.699997,159.000000,152.779999,153.380005,153.380005,1557800
2023-06-26,155.380005,161.210007,153.910004,160.750000,160.750000,1802400
2023-07-03,160.880005,162.970001,159.850006,161.770004,161.770004,1025600
2023-07-10,160.000000,160.899994,157.500000,159.149994,159.149994,1421000
2023-07-17,159.399994,164.979996,158.169998,162.809998,162.809998,1325700
2023-07-24,164.580002,167.800003,164.250000,167.149994,167.149994,1082100
2023-07-31,168.000000,175.369995,166.740005,170.789993,170.789993,1776300
2023-08-07,172.330002,173.389999,166.410004,167.279999,167.279999,1321600
2023-08-14,165.589996,167.100006,160.380005,161.869995,161.869995,1275100
2023-08-21,162.160004,166.440002,162.000000,164.460007,164.460007,899800
2023-08-28,166.339996,173.910004,165.449997,172.539993,172.539993,1248500
2023-09-04,175.050003,179.880005,174.630005,177.130005,177.130005,1106800
2023-09-11,177.929993,190.860001,177.720001,189.199997,189.199997,1521200
2023-09-18,188.660004,195.649994,185.850006,187.100006,187.100006,1881800
2023-09-25,185.000000,185.270004,179.259995,179.750000,179.750000,1699300
2023-10-02,179.300003,179.600006,166.919998,173.179993,173.179993,2397300
2023-10-09,172.500000,182.960007,171.970001,177.679993,177.679993,1142700
2023-10-16,178.190002,179.679993,173.229996,173.479996,173.479996,1520800
2023-10-23,173.050003,176.880005,171.369995,172.809998,172.809998,1103200
2023-10-30,172.270004,189.869995,170.490005,189.589996,189.589996,2026900
2023-11-06,190.229996,190.559998,182.820007,187.000000,187.000000,1305700
2023-11-13,185.509995,193.429993,185.179993,193.360001,193.360001,1423500
2023-11-20,186.770004,188.529999,181.509995,188.300003,188.300003,1499100
2023-11-27,186.100006,192.809998,185.809998,192.740005,192.740005,1219400
2023-12-04,188.339996,192.899994,185.600006,187.279999,187.279999,1610000
2023-12-11,186.809998,187.710007,180.589996,180.619995,180.619995,1805200
2023-12-18,183.869995,185.100006,178.000000,178.529999,178.529999,1595300
2023-12-25,178.529999,183.880005,178.529999,183.380005,183.380005,860200
2024-01-01,182.149994,188.710007,180.070007,187.070007,187.070007,1126400
2024-01-08,187.500000,196.479996,185.289993,195.679993,195.679993,1642000
2024-01-15,195.289993,200.699997,193.029999,200.669998,200.669998,1205000
2024-01-22,201.240005,202.000000,197.070007,198.059998,198.059998,1302000
2024-01-29,199.679993,202.639999,199.080002,202.539993,202.539993,1133200
2024-02-05,202.289993,226.399994,201.410004,224.460007,224.460007,2522200
